Phrase,Sujet,Verbe,Objet,Dep_sujet,Dep_verbe,Dep_objet,ID_sujet,ID_verbe,ID_objet,Lemme_verbe,Head_verbe,Annotation_verbe_col8,Annotation_verbe_col9,Num_phrase,Num_paragr,Sentence_index
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",NaN,portant,le numéro 7 de Saville - row Burlington Gardens maison,NaN,acl,obj,,8,10,porter,7,2,PER,0,0,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",Sheridan,mourut,en 1814,nsubj,acl:relcl,obl:mod,23,24,26,mourir,20,_,_,0,0,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,En l' année 1872,nsubj:pass,root,obl:mod,7,30,3,habiter,0,38,PER,0,0,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,par Phileas Fogg esq.,nsubj:pass,root,obl:agent,7,30,32,habiter,0,38,PER,0,0,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres,nsubj:pass,root,obl:mod,7,30,39,habiter,0,38,PER,0,0,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,semblât,NaN,nsubj:pass,advcl,NaN,7,59,,sembler,30,_,_,0,0,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",NaN,prendre,à tâche,NaN,xcomp,obl:arg,,60,62,prendre,59,_,_,0,0,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",NaN,faire,NaN,NaN,acl,NaN,,66,,faire,62,_,_,0,0,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",qui,pût,NaN,nsubj,acl:relcl,NaN,67,68,,pouvoir,62,_,_,0,0,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",qui,attirer,l' attention,nsubj,xcomp,obj,67,69,71,attirer,68,_,_,0,0,1
"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",qui,honorent,l' Angleterre,nsubj,acl:relcl,obj,8,9,11,honorer,7,15,PER,1,1,2
"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",NaN,succédait,À l' un des plus grands orateurs,NaN,root,obl:mod,,13,3,succéder,0,_,_,1,1,2
"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",NaN,succédait,ce Phileas Fogg personnage énigmatique sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise,NaN,root,obj,,13,16,succéder,0,_,_,1,1,2
"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",on,savait,rien,nsubj,acl:relcl,obj,23,25,26,savoir,16,_,_,1,1,2
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",On,disait,NaN,nsubj,root,NaN,1,2,,dire,0,_,_,2,2,3
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,à Byron,nsubj,ccomp,obl:arg,4,5,7,ressembler,2,_,_,2,2,3
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,-,nsubj,ccomp,obj,4,5,8,ressembler,2,_,_,2,2,3
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,par la tête,nsubj,ccomp,obl:mod,4,5,11,ressembler,2,_,_,2,2,3
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,quant aux pieds,nsubj,ccomp,obl:mod,4,5,19,ressembler,2,_,_,2,2,3
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,-,nsubj,ccomp,obj,4,5,20,ressembler,2,_,_,2,2,3
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",qui,vécu,mille ans,nsubj,acl:relcl,obj,35,37,39,vivre,32,_,_,2,2,3
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",qui,vieillir,NaN,nsubj,advcl,NaN,35,41,,vieillir,37,_,_,2,2,3
"Anglais, à coup sûr, Phileas Fogg n' était peut-être pas Londonner.",Phileas Fogg,Londonner,NaN,nsubj,xcomp,NaN,7,13,,londonner,10,_,_,3,3,4
"On ne l' avait jamais vu ni à la Bourse, ni à la Banque, ni dans aucun des comptoirs de la Cité.",On,vu,l',nsubj,root,obj,1,6,3,voir,0,_,_,4,3,5
Ni les bassins ni les docks de Londres n' avaient jamais reçu un navire ayant pour armateur Phileas Fogg.,les bassins ni les docks de Londres,reçu,un navire,nsubj,root,obj,3,12,14,recevoir,0,_,_,5,3,6
Ni les bassins ni les docks de Londres n' avaient jamais reçu un navire ayant pour armateur Phileas Fogg.,NaN,ayant,Phileas Fogg,NaN,acl,obj,,15,18,avoir,14,_,_,5,3,6
Ce gentleman ne figurait dans aucun comité d' administration.,Ce gentleman,figurait,dans aucun comité d' administration,nsubj,root,obl:arg,2,4,7,figurer,0,_,_,6,3,7
"Son nom n' avait jamais retenti dans un collège d' avocats, ni au Temple, ni à Lincoln' s - inn, ni à Gray' s - inn.",Son nom,retenti,dans un collège d' avocats ni au Temple ni à Lincoln' s - inn ni à Gray' s - inn,nsubj,root,obl:mod,2,6,9,retentir,0,_,_,7,3,8
"Jamais il ne plaida ni à la Cour du chancelier, ni au Banc de la Reine, ni à l' Échiquier, ni en Cour ecclésiastique.",il,plaida,ni à la Cour du chancelier ni au Banc de la Reine ni à l' Échiquier ni en Cour ecclésiastique,nsubj,root,obj,2,4,8,plaider,0,_,_,8,3,9
"Il ne faisait partie ni de l' Institution royale de la Grande-Bretagne, ni de l' Institution de Londres, ni de l' Institution des Artisans, ni de l' Institution Russell, ni de l' Institution littéraire de l' Ouest, ni de l' Institution du Droit, ni de cette Institution des Arts et des Sciences réunis, qui est placée sous le patronage direct de Sa Gracieuse Majesté.",Il,faisait,partie,nsubj,root,obj,1,3,4,faire,0,_,_,10,3,11
"Il ne faisait partie ni de l' Institution royale de la Grande-Bretagne, ni de l' Institution de Londres, ni de l' Institution des Artisans, ni de l' Institution Russell, ni de l' Institution littéraire de l' Ouest, ni de l' Institution du Droit, ni de cette Institution des Arts et des Sciences réunis, qui est placée sous le patronage direct de Sa Gracieuse Majesté.",NaN,réunis,NaN,NaN,acl,NaN,,59,,réunir,55,_,_,10,3,11
"Il ne faisait partie ni de l' Institution royale de la Grande-Bretagne, ni de l' Institution de Londres, ni de l' Institution des Artisans, ni de l' Institution Russell, ni de l' Institution littéraire de l' Ouest, ni de l' Institution du Droit, ni de cette Institution des Arts et des Sciences réunis, qui est placée sous le patronage direct de Sa Gracieuse Majesté.",qui,placée,sous le patronage direct de Sa Gracieuse Majesté,nsubj:pass,acl:relcl,obl:arg,61,63,66,placer,53,_,_,10,3,11
"Il n' appartenait enfin à aucune des nombreuses sociétés qui pullulent dans la capitale de l' Angleterre, depuis la Société de l' Armonica jusqu' à la Société entomologique, fondée principalement dans le but de détruire les insectes nuisibles.",NaN,appartenait,à aucune des nombreuses sociétés,NaN,root,obl:arg,,3,6,appartenir,0,_,_,11,3,12
"Il n' appartenait enfin à aucune des nombreuses sociétés qui pullulent dans la capitale de l' Angleterre, depuis la Société de l' Armonica jusqu' à la Société entomologique, fondée principalement dans le but de détruire les insectes nuisibles.",qui,pullulent,dans la capitale de l' Angleterre,nsubj,acl:relcl,obl:mod,10,11,14,pulluler,9,_,_,11,3,12
"Il n' appartenait enfin à aucune des nombreuses sociétés qui pullulent dans la capitale de l' Angleterre, depuis la Société de l' Armonica jusqu' à la Société entomologique, fondée principalement dans le but de détruire les insectes nuisibles.",qui,pullulent,depuis la Société de l' Armonica jusqu' à la Société entomologique,nsubj,acl:relcl,obl:mod,10,11,21,pulluler,9,_,_,11,3,12
"Il n' appartenait enfin à aucune des nombreuses sociétés qui pullulent dans la capitale de l' Angleterre, depuis la Société de l' Armonica jusqu' à la Société entomologique, fondée principalement dans le but de détruire les insectes nuisibles.",NaN,fondée,dans le but,NaN,acl,obl:mod,,31,35,fonder,28,_,_,11,3,12
"Il n' appartenait enfin à aucune des nombreuses sociétés qui pullulent dans la capitale de l' Angleterre, depuis la Société de l' Armonica jusqu' à la Société entomologique, fondée principalement dans le but de détruire les insectes nuisibles.",NaN,détruire,les insectes nuisibles,NaN,acl,obj,,37,39,détruire,35,_,_,11,3,12
"Phileas Fogg était membre du Reform - Club, et voilà tout.",Phileas Fogg,voilà,NaN,nsubj,conj,NaN,1,11,,voilà,4,_,_,12,4,13
"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",on,étonnerait,À qui,nsubj,advcl,obl:mod,21,4,2,étonner,22,_,_,13,5,14
"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",on,étonnerait,s',nsubj,advcl,expl:comp,21,4,3,étonner,22,_,_,13,5,14
"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",on,étonnerait,de ce,nsubj,advcl,obl:arg,21,4,6,étonner,22,_,_,13,5,14
"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",un gentleman aussi mystérieux,comptât,parmi les membres de cette honorable association,nsubj,acl,obl:arg,9,12,15,compter,6,_,_,13,5,14
"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",on,répondra,NaN,nsubj,root,NaN,21,22,,répondre,0,_,_,13,5,14
"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",il,passa,sur la recommandation de MM. Baring frères,nsubj,ccomp,obl:arg,24,25,28,passer,22,_,_,13,5,14
"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",il,avait,chez lesquels,nsubj,acl:relcl,obl:mod,36,37,35,avoir,30,_,_,13,5,14
"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",il,avait,un crédit ouvert,nsubj,acl:relcl,obj,36,37,39,avoir,30,_,_,13,5,14
"De là une certaine« surface», due à ce que ses chèques étaient régulièrement payés à vue par le débit de son compte courant invariablement créditeur.",ses chèques,payés,à vue,nsubj:pass,acl,obl:mod,14,17,19,payer,11,_,_,14,5,15
"De là une certaine« surface», due à ce que ses chèques étaient régulièrement payés à vue par le débit de son compte courant invariablement créditeur.",ses chèques,payés,par le débit de son compte courant invariablement créditeur,nsubj:pass,acl,obl:agent,14,17,22,payer,11,_,_,14,5,15
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,fait,fortune,nsubj,advcl,obj,3,5,6,faire,68,_,_,17,6,18
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,fait,En tout cas,nsubj,advcl,obl:mod,3,5,37,faire,68,_,_,17,6,18
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,fait,de rien,nsubj,advcl,obl:arg,3,5,44,faire,68,_,_,17,6,18
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",NaN,pouvaient,NaN,NaN,acl,NaN,,16,,pouvoir,10,_,_,17,6,18
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",NaN,dire,NaN,NaN,xcomp,NaN,,17,,dire,16,_,_,17,6,18
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,convînt,NaN,nsubj,acl:relcl,NaN,26,27,,convenir,24,_,_,17,6,18
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,adresser,s',nsubj,xcomp,expl:comp,26,30,29,adresser,27,_,_,17,6,18
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,apprendre,l',nsubj,advcl,obj,26,33,32,apprendre,27,_,_,17,6,18
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,manquait,où,nsubj,conj,iobj,39,54,52,manquer,42,_,_,17,6,18
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,manquait,il,nsubj,conj,iobj,39,54,53,manquer,42,_,_,17,6,18
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,manquait,un appoint pour une chose noble utile ou généreuse,nsubj,conj,obj,39,54,56,manquer,42,_,_,17,6,18
"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,apportait,l',nsubj,root,obj,66,68,67,apporter,0,_,_,17,6,18
"Il parlait aussi peu que possible, et semblait d' autant plus mystérieux qu' il était silencieux.",Il,parlait,NaN,nsubj,root,NaN,1,2,,parler,0,_,_,19,7,20
"Il parlait aussi peu que possible, et semblait d' autant plus mystérieux qu' il était silencieux.",Il,semblait,NaN,nsubj,conj,NaN,1,9,,sembler,2,_,_,19,7,20
"Cependant sa vie était à jour, mais ce qu' il faisait était si mathématiquement toujours la même chose, que l' imagination, mécontente, cherchait au-delà.",il,faisait,qu',nsubj,acl:relcl,obj,11,12,10,faire,9,_,_,20,7,21
"Cependant sa vie était à jour, mais ce qu' il faisait était si mathématiquement toujours la même chose, que l' imagination, mécontente, cherchait au-delà.",l' imagination mécontente,cherchait,au-delà,nsubj,dep,obl:arg,23,27,28,chercher,19,_,_,20,7,21
Avait -il voyagé?,-il,voyagé,NaN,nsubj,root,NaN,2,3,,voyager,0,_,_,21,8,22
"C' était probable, car personne ne possédait mieux que lui la carte du monde.",personne,possédait,la carte du monde,nsubj,conj,obj,6,8,13,posséder,3,_,_,22,8,23
Il n' était endroit si reculé dont il ne parût avoir une connaissance spéciale.,il,parût,dont,nsubj,acl:relcl,iobj,8,10,7,paraître,4,_,_,23,8,24
Il n' était endroit si reculé dont il ne parût avoir une connaissance spéciale.,il,avoir,une connaissance spéciale,nsubj,xcomp,obj,8,11,13,avoir,10,_,_,23,8,24
"Quelquefois, mais en peu de mots, brefs et clairs, il redressait les mille propos qui circulaient dans le club au sujet des voyageurs perdus ou égarés; il indiquait les vraies probabilités, et ses paroles s' étaient trouvées souvent comme inspirées par une seconde vue, tant l' événement finissait toujours par les justifier.",il,redressait,en peu de mots brefs et clairs,nsubj,root,obl:mod,13,14,5,redresser,0,_,_,24,8,25
"Quelquefois, mais en peu de mots, brefs et clairs, il redressait les mille propos qui circulaient dans le club au sujet des voyageurs perdus ou égarés; il indiquait les vraies probabilités, et ses paroles s' étaient trouvées souvent comme inspirées par une seconde vue, tant l' événement finissait toujours par les justifier.",il,redressait,les mille propos,nsubj,root,obj,13,14,17,redresser,0,_,_,24,8,25
"Quelquefois, mais en peu de mots, brefs et clairs, il redressait les mille propos qui circulaient dans le club au sujet des voyageurs perdus ou égarés; il indiquait les vraies probabilités, et ses paroles s' étaient trouvées souvent comme inspirées par une seconde vue, tant l' événement finissait toujours par les justifier.",qui,circulaient,dans le club,nsubj,acl:relcl,obl:mod,18,19,22,circuler,17,34,PER,24,8,25
"Quelquefois, mais en peu de mots, brefs et clairs, il redressait les mille propos qui circulaient dans le club au sujet des voyageurs perdus ou égarés; il indiquait les vraies probabilités, et ses paroles s' étaient trouvées souvent comme inspirées par une seconde vue, tant l' événement finissait toujours par les justifier.",qui,circulaient,au sujet des voyageurs,nsubj,acl:relcl,obl:mod,18,19,24,circuler,17,34,PER,24,8,25
"Quelquefois, mais en peu de mots, brefs et clairs, il redressait les mille propos qui circulaient dans le club au sujet des voyageurs perdus ou égarés; il indiquait les vraies probabilités, et ses paroles s' étaient trouvées souvent comme inspirées par une seconde vue, tant l' événement finissait toujours par les justifier.",NaN,perdus,NaN,NaN,acl,NaN,,27,,perdre,26,_,_,24,8,25
"Quelquefois, mais en peu de mots, brefs et clairs, il redressait les mille propos qui circulaient dans le club au sujet des voyageurs perdus ou égarés; il indiquait les vraies probabilités, et ses paroles s' étaient trouvées souvent comme inspirées par une seconde vue, tant l' événement finissait toujours par les justifier.",NaN,égarés,NaN,NaN,conj,NaN,,29,,égarer,27,_,_,24,8,25
"Quelquefois, mais en peu de mots, brefs et clairs, il redressait les mille propos qui circulaient dans le club au sujet des voyageurs perdus ou égarés; il indiquait les vraies probabilités, et ses paroles s' étaient trouvées souvent comme inspirées par une seconde vue, tant l' événement finissait toujours par les justifier.",il,indiquait,les vraies probabilités,nsubj,root,obj,31,32,35,indiquer,0,_,_,24,8,25
"Quelquefois, mais en peu de mots, brefs et clairs, il redressait les mille propos qui circulaient dans le club au sujet des voyageurs perdus ou égarés; il indiquait les vraies probabilités, et ses paroles s' étaient trouvées souvent comme inspirées par une seconde vue, tant l' événement finissait toujours par les justifier.",ses paroles,trouvées,s',nsubj,conj,expl:comp,39,42,40,trouver,32,_,_,24,8,25
"Quelquefois, mais en peu de mots, brefs et clairs, il redressait les mille propos qui circulaient dans le club au sujet des voyageurs perdus ou égarés; il indiquait les vraies probabilités, et ses paroles s' étaient trouvées souvent comme inspirées par une seconde vue, tant l' événement finissait toujours par les justifier.",ses paroles,inspirées,par une seconde vue,nsubj,xcomp,obl:agent,39,45,49,inspirer,42,_,_,24,8,25
"Quelquefois, mais en peu de mots, brefs et clairs, il redressait les mille propos qui circulaient dans le club au sujet des voyageurs perdus ou égarés; il indiquait les vraies probabilités, et ses paroles s' étaient trouvées souvent comme inspirées par une seconde vue, tant l' événement finissait toujours par les justifier.",l' événement,finissait,NaN,nsubj,advcl,NaN,53,54,,finir,42,_,_,24,8,25
"Quelquefois, mais en peu de mots, brefs et clairs, il redressait les mille propos qui circulaient dans le club au sujet des voyageurs perdus ou égarés; il indiquait les vraies probabilités, et ses paroles s' étaient trouvées souvent comme inspirées par une seconde vue, tant l' événement finissait toujours par les justifier.",l' événement,justifier,les,nsubj,xcomp,obj,53,58,57,justifier,54,_,_,24,8,25
"C' était un homme qui avait dû voyager partout,- en esprit, tout au moins.",qui,dû,en esprit,nsubj,acl:relcl,obl:mod,5,7,13,devoir,4,_,_,25,8,26
"C' était un homme qui avait dû voyager partout,- en esprit, tout au moins.",qui,voyager,NaN,nsubj,xcomp,NaN,5,8,,voyager,7,Dpt au sens large,VERB,25,8,26
"Ce qui était certain toutefois, c' est que, depuis de longues années, Phileas Fogg n' avait pas quitté Londres.",NaN,est,NaN,NaN,root,NaN,,8,,être,0,_,_,26,9,27
"Ce qui était certain toutefois, c' est que, depuis de longues années, Phileas Fogg n' avait pas quitté Londres.",Phileas Fogg,quitté,depuis de longues années,nsubj,ccomp,obl:mod,16,21,14,quitter,8,54,PER,26,9,27
"Ce qui était certain toutefois, c' est que, depuis de longues années, Phileas Fogg n' avait pas quitté Londres.",Phileas Fogg,quitté,Londres,nsubj,ccomp,obj,16,21,22,quitter,8,54,PER,26,9,27
