Phrase,Sujet,Verbe,Objet,Dep_sujet,Dep_verbe,Dep_objet,ID_sujet,ID_verbe,ID_objet,Lemme_verbe,Head_verbe,Annotation_verbe_col8,Annotation_verbe_col9,Num_phrase,Num_paragr,Sentence_index
Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,qui,avaient,l' honneur,nsubj,acl:relcl,obj,2,3,5,avoir,1,_,_,27,9,28
Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,qui,connaître,le,nsubj,xcomp,obj,2,8,7,connaître,3,_,_,27,9,28
Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,Ceux,attestaient,que,nsubj,root,obl:mod,1,15,16,attester,0,_,_,27,9,28
Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,Ceux,est,sur ce chemin direct,nsubj,ccomp,obl:mod,1,21,24,être,15,_,_,27,9,28
Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,il,parcourait,qu',nsubj,acl:relcl,obj,27,28,26,parcourir,24,56,PER,27,9,28
Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,il,parcourait,chaque jour,nsubj,acl:relcl,obl:mod,27,28,30,parcourir,24,56,PER,27,9,28
Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,il,venir,de sa maison au club,nsubj,advcl,obl:arg,27,32,35,venir,28,33,PER,27,9,28
Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,personne,pouvait,NaN,nsubj,acl:relcl,NaN,39,41,,pouvoir,24,_,_,27,9,28
Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,personne,prétendre,NaN,nsubj,xcomp,NaN,39,42,,prétendre,41,_,_,27,9,28
Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,NaN,vu,l',NaN,xcomp,obj,,46,43,voir,42,_,_,27,9,28
Son seul passe-temps était de lire les journaux et de jouer au whist.,Son seul passe-temps,était,NaN,nsubj,root,NaN,3,4,,être,0,_,_,28,9,29
Son seul passe-temps était de lire les journaux et de jouer au whist.,Son seul passe-temps,lire,les journaux,nsubj,xcomp,obj,3,6,8,lire,4,_,_,28,9,29
Son seul passe-temps était de lire les journaux et de jouer au whist.,Son seul passe-temps,jouer,au whist,nsubj,conj,obl:arg,3,11,13,jouer,6,_,_,28,9,29
"À ce jeu du silence, si bien approprié à sa nature, il gagnait souvent, mais ses gains n' entraient jamais dans sa bourse et figuraient pour une somme importante à son budget de charité.",il,gagnait,À ce jeu du silence si bien approprié à sa nature,nsubj,root,obl:mod,14,15,3,gagner,0,_,_,29,9,30
"À ce jeu du silence, si bien approprié à sa nature, il gagnait souvent, mais ses gains n' entraient jamais dans sa bourse et figuraient pour une somme importante à son budget de charité.",ses gains,entraient,dans sa bourse,nsubj,conj,obl:arg,20,22,26,entrer,15,_,_,29,9,30
"À ce jeu du silence, si bien approprié à sa nature, il gagnait souvent, mais ses gains n' entraient jamais dans sa bourse et figuraient pour une somme importante à son budget de charité.",ses gains,figuraient,pour une somme importante à son budget de charité,nsubj,conj,obl:arg,20,28,31,figurer,22,_,_,29,9,30
"D' ailleurs, il faut le remarquer, Mr. Fogg jouait évidemment pour jouer, non pour gagner.",NaN,faut,D' ailleurs,NaN,root,obl:mod,,5,2,falloir,0,_,_,30,9,31
"D' ailleurs, il faut le remarquer, Mr. Fogg jouait évidemment pour jouer, non pour gagner.",NaN,remarquer,le,NaN,xcomp,obj,,7,6,remarquer,5,_,_,30,9,31
"D' ailleurs, il faut le remarquer, Mr. Fogg jouait évidemment pour jouer, non pour gagner.",Mr. Fogg,jouait,NaN,nsubj,advcl,NaN,9,11,,jouer,5,_,_,30,9,31
"D' ailleurs, il faut le remarquer, Mr. Fogg jouait évidemment pour jouer, non pour gagner.",Mr. Fogg,jouer,NaN,nsubj,advcl,NaN,9,14,,jouer,11,_,_,30,9,31
"D' ailleurs, il faut le remarquer, Mr. Fogg jouait évidemment pour jouer, non pour gagner.",NaN,gagner,NaN,NaN,advcl,NaN,,18,,gagner,14,Dpt au sens large,VERB,30,9,31
"Le jeu était pour lui un combat, une lutte contre une difficulté, mais une lutte sans mouvement, sans déplacement, sans fatigue, et cela allait à son caractère.",cela,allait,à son caractère,nsubj,conj,obl:arg,28,29,32,aller,7,_,_,31,9,32
"On ne connaissait à Phileas Fogg ni femme ni enfants,- ce qui peut arriver aux gens les plus honnêtes,- ni parents ni amis,- ce qui est plus rare en vérité.",On,connaissait,à Phileas Fogg ni femme ni enfants,nsubj,root,obl:arg,1,3,5,connaître,0,_,_,32,10,33
"On ne connaissait à Phileas Fogg ni femme ni enfants,- ce qui peut arriver aux gens les plus honnêtes,- ni parents ni amis,- ce qui est plus rare en vérité.",On,connaissait,ce,nsubj,root,obj,1,3,13,connaître,0,_,_,32,10,33
"On ne connaissait à Phileas Fogg ni femme ni enfants,- ce qui peut arriver aux gens les plus honnêtes,- ni parents ni amis,- ce qui est plus rare en vérité.",qui,peut,NaN,nsubj,acl:relcl,NaN,14,15,,pouvoir,13,_,_,32,10,33
"On ne connaissait à Phileas Fogg ni femme ni enfants,- ce qui peut arriver aux gens les plus honnêtes,- ni parents ni amis,- ce qui est plus rare en vérité.",qui,arriver,aux gens les plus honnêtes,nsubj,xcomp,obl:arg,14,16,18,arriver,15,Dpt au sens large,VERB,32,10,33
"Phileas Fogg vivait seul dans sa maison de Saville - row, où personne ne pénétrait.",Phileas Fogg,vivait,dans sa maison de Saville - row,nsubj,root,obl:mod,1,3,7,vivre,0,41,PER,33,10,34
"Phileas Fogg vivait seul dans sa maison de Saville - row, où personne ne pénétrait.",personne,pénétrait,où,nsubj,acl:relcl,iobj,14,16,13,pénétrer,7,_,_,33,10,34
Un seul domestique suffisait à le servir.,Un seul domestique,suffisait,NaN,nsubj,root,NaN,3,4,,suffire,0,_,_,35,10,36
Un seul domestique suffisait à le servir.,Un seul domestique,servir,le,nsubj,xcomp,obj,3,7,6,servir,4,_,_,35,10,36
"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",NaN,Déjeunant,NaN,NaN,advcl,NaN,,1,,déjeuner,23,36,PER,36,10,37
"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",NaN,dînant,au club,NaN,advcl,obl:arg,,3,5,dîner,1,37,PER,36,10,37
"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",NaN,dînant,à des heures,NaN,advcl,obl:mod,,3,8,dîner,1,37,PER,36,10,37
"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",NaN,dînant,dans la même salle,NaN,advcl,obl:mod,,3,15,dîner,1,37,PER,36,10,37
"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",NaN,dînant,à la même table,NaN,advcl,obl:mod,,3,20,dîner,1,37,PER,36,10,37
"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",NaN,déterminées,NaN,NaN,acl,NaN,,10,,déterminer,8,23,TIME,36,10,37
"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",il,traitant,ses collègues,nsubj,advcl,obj,33,23,26,traiter,35,_,_,36,10,37
"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",il,invitant,aucun étranger,nsubj,conj,obj,33,29,31,inviter,23,_,_,36,10,37
"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",il,rentrait,chez lui,nsubj,root,obl:arg,33,35,37,rentraire,0,43,PER,36,10,37
"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",il,coucher,se,nsubj,xcomp,expl:comp,33,41,40,coucher,35,35,PER,36,10,37
"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",il,coucher,à minuit précis,nsubj,xcomp,obl:mod,33,41,44,coucher,35,35,PER,36,10,37
"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",NaN,user,de ces chambres confortables,NaN,advcl,obl:arg,,49,52,user,41,_,_,36,10,37
"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",le Reform - Club,tient,que,nsubj,acl:relcl,obj,58,59,54,tenir,52,_,_,36,10,37
"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",le Reform - Club,tient,à la disposition des membres du cercle,nsubj,acl:relcl,obl:arg,58,59,62,tenir,52,_,_,36,10,37
"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu' il dormît, soit qu' il s' occupât de sa toilette.",il,passait,Sur vingt-quatre heures,nsubj,root,obl:mod,5,7,3,passer,0,29,PER,37,10,38
"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu' il dormît, soit qu' il s' occupât de sa toilette.",il,passait,dix,nsubj,root,obj,5,7,8,passer,0,29,PER,37,10,38
"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu' il dormît, soit qu' il s' occupât de sa toilette.",il,passait,à son domicile,nsubj,root,obl:mod,5,7,11,passer,0,29,PER,37,10,38
"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu' il dormît, soit qu' il s' occupât de sa toilette.",il,dormît,NaN,nsubj,conj,NaN,15,16,,dormir,7,_,_,37,10,38
"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu' il dormît, soit qu' il s' occupât de sa toilette.",il,occupât,s',nsubj,conj,expl:comp,20,22,21,occuper,16,_,_,37,10,38
"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu' il dormît, soit qu' il s' occupât de sa toilette.",il,occupât,de sa toilette,nsubj,conj,obl:arg,20,22,25,occuper,16,_,_,37,10,38
"S' il se promenait, c' était invariablement, d' un pas égal, dans la salle d' entrée parquetée en marqueterie, ou sur la galerie circulaire, au-dessus de laquelle s' arrondit un dôme à vitraux bleus, que supportent vingt colonnes ioniques en porphyre rouge.",il,promenait,se,nsubj,root,expl:comp,2,4,3,promener,0,39,PER,38,10,39
"S' il se promenait, c' était invariablement, d' un pas égal, dans la salle d' entrée parquetée en marqueterie, ou sur la galerie circulaire, au-dessus de laquelle s' arrondit un dôme à vitraux bleus, que supportent vingt colonnes ioniques en porphyre rouge.",il,promenait,d' un pas égal,nsubj,root,obl:mod,2,4,12,promener,0,39,PER,38,10,39
"S' il se promenait, c' était invariablement, d' un pas égal, dans la salle d' entrée parquetée en marqueterie, ou sur la galerie circulaire, au-dessus de laquelle s' arrondit un dôme à vitraux bleus, que supportent vingt colonnes ioniques en porphyre rouge.",il,promenait,dans la salle d' entrée ou sur la galerie circulaire,nsubj,root,obl:mod,2,4,17,promener,0,39,PER,38,10,39
"S' il se promenait, c' était invariablement, d' un pas égal, dans la salle d' entrée parquetée en marqueterie, ou sur la galerie circulaire, au-dessus de laquelle s' arrondit un dôme à vitraux bleus, que supportent vingt colonnes ioniques en porphyre rouge.",NaN,parquetée,en marqueterie,NaN,acl,obl:mod,,20,22,parqueter,17,62,FAC,38,10,39
"S' il se promenait, c' était invariablement, d' un pas égal, dans la salle d' entrée parquetée en marqueterie, ou sur la galerie circulaire, au-dessus de laquelle s' arrondit un dôme à vitraux bleus, que supportent vingt colonnes ioniques en porphyre rouge.",un dôme à vitraux bleus,arrondit,s',nsubj,acl:relcl,expl:comp,36,34,33,arrondir,27,_,_,38,10,39
"S' il se promenait, c' était invariablement, d' un pas égal, dans la salle d' entrée parquetée en marqueterie, ou sur la galerie circulaire, au-dessus de laquelle s' arrondit un dôme à vitraux bleus, que supportent vingt colonnes ioniques en porphyre rouge.",vingt colonnes ioniques en porphyre rouge,supportent,que,nsubj,acl:relcl,obj,44,42,41,supporter,27,_,_,38,10,39
"S' il dînait ou déjeunait, c' étaient les cuisines, le garde-manger, l' office, la poissonnerie, la laiterie du club, qui fournissaient à sa table leurs succulentes réserves; c' étaient les domestiques du club, graves personnages en habit noir, chaussés de souliers à semelles de molleton, qui le servaient dans une porcelaine spéciale et sur un admirable linge en toile de Saxe; c' étaient les cristaux à moule perdu du club qui contenaient son sherry, son porto ou son claret mélangé de cannelle, de capillaire et de cinnamome; c' était enfin la glace du club - glace venue à grands frais des lacs d' Amérique- qui entretenait ses boissons dans un satisfaisant état de fraîcheur.",il,dînait,NaN,nsubj,advcl,NaN,2,3,,dîner,10,_,_,39,10,40
"S' il dînait ou déjeunait, c' étaient les cuisines, le garde-manger, l' office, la poissonnerie, la laiterie du club, qui fournissaient à sa table leurs succulentes réserves; c' étaient les domestiques du club, graves personnages en habit noir, chaussés de souliers à semelles de molleton, qui le servaient dans une porcelaine spéciale et sur un admirable linge en toile de Saxe; c' étaient les cristaux à moule perdu du club qui contenaient son sherry, son porto ou son claret mélangé de cannelle, de capillaire et de cinnamome; c' était enfin la glace du club - glace venue à grands frais des lacs d' Amérique- qui entretenait ses boissons dans un satisfaisant état de fraîcheur.",il,déjeunait,NaN,nsubj,conj,NaN,2,5,,déjeuner,3,_,_,39,10,40
"S' il dînait ou déjeunait, c' étaient les cuisines, le garde-manger, l' office, la poissonnerie, la laiterie du club, qui fournissaient à sa table leurs succulentes réserves; c' étaient les domestiques du club, graves personnages en habit noir, chaussés de souliers à semelles de molleton, qui le servaient dans une porcelaine spéciale et sur un admirable linge en toile de Saxe; c' étaient les cristaux à moule perdu du club qui contenaient son sherry, son porto ou son claret mélangé de cannelle, de capillaire et de cinnamome; c' était enfin la glace du club - glace venue à grands frais des lacs d' Amérique- qui entretenait ses boissons dans un satisfaisant état de fraîcheur.",qui,fournissaient,à sa table,nsubj,dep,obl:arg,26,27,30,fournir,10,_,_,39,10,40
"S' il dînait ou déjeunait, c' étaient les cuisines, le garde-manger, l' office, la poissonnerie, la laiterie du club, qui fournissaient à sa table leurs succulentes réserves; c' étaient les domestiques du club, graves personnages en habit noir, chaussés de souliers à semelles de molleton, qui le servaient dans une porcelaine spéciale et sur un admirable linge en toile de Saxe; c' étaient les cristaux à moule perdu du club qui contenaient son sherry, son porto ou son claret mélangé de cannelle, de capillaire et de cinnamome; c' était enfin la glace du club - glace venue à grands frais des lacs d' Amérique- qui entretenait ses boissons dans un satisfaisant état de fraîcheur.",qui,fournissaient,leurs succulentes réserves,nsubj,dep,obj,26,27,33,fournir,10,_,_,39,10,40
"S' il dînait ou déjeunait, c' étaient les cuisines, le garde-manger, l' office, la poissonnerie, la laiterie du club, qui fournissaient à sa table leurs succulentes réserves; c' étaient les domestiques du club, graves personnages en habit noir, chaussés de souliers à semelles de molleton, qui le servaient dans une porcelaine spéciale et sur un admirable linge en toile de Saxe; c' étaient les cristaux à moule perdu du club qui contenaient son sherry, son porto ou son claret mélangé de cannelle, de capillaire et de cinnamome; c' était enfin la glace du club - glace venue à grands frais des lacs d' Amérique- qui entretenait ses boissons dans un satisfaisant état de fraîcheur.",NaN,chaussés,de souliers à semelles de molleton,NaN,acl,obl:arg,,48,50,chausser,43,10,PER,39,10,40
"S' il dînait ou déjeunait, c' étaient les cuisines, le garde-manger, l' office, la poissonnerie, la laiterie du club, qui fournissaient à sa table leurs succulentes réserves; c' étaient les domestiques du club, graves personnages en habit noir, chaussés de souliers à semelles de molleton, qui le servaient dans une porcelaine spéciale et sur un admirable linge en toile de Saxe; c' étaient les cristaux à moule perdu du club qui contenaient son sherry, son porto ou son claret mélangé de cannelle, de capillaire et de cinnamome; c' était enfin la glace du club - glace venue à grands frais des lacs d' Amérique- qui entretenait ses boissons dans un satisfaisant état de fraîcheur.",qui,servaient,le,nsubj,dep,obj,56,58,57,servir,38,_,_,39,10,40
"S' il dînait ou déjeunait, c' étaient les cuisines, le garde-manger, l' office, la poissonnerie, la laiterie du club, qui fournissaient à sa table leurs succulentes réserves; c' étaient les domestiques du club, graves personnages en habit noir, chaussés de souliers à semelles de molleton, qui le servaient dans une porcelaine spéciale et sur un admirable linge en toile de Saxe; c' étaient les cristaux à moule perdu du club qui contenaient son sherry, son porto ou son claret mélangé de cannelle, de capillaire et de cinnamome; c' était enfin la glace du club - glace venue à grands frais des lacs d' Amérique- qui entretenait ses boissons dans un satisfaisant état de fraîcheur.",qui,servaient,dans une porcelaine spéciale et sur un admirable linge en toile de Saxe,nsubj,dep,obl:mod,56,58,61,servir,38,_,_,39,10,40
"S' il dînait ou déjeunait, c' étaient les cuisines, le garde-manger, l' office, la poissonnerie, la laiterie du club, qui fournissaient à sa table leurs succulentes réserves; c' étaient les domestiques du club, graves personnages en habit noir, chaussés de souliers à semelles de molleton, qui le servaient dans une porcelaine spéciale et sur un admirable linge en toile de Saxe; c' étaient les cristaux à moule perdu du club qui contenaient son sherry, son porto ou son claret mélangé de cannelle, de capillaire et de cinnamome; c' était enfin la glace du club - glace venue à grands frais des lacs d' Amérique- qui entretenait ses boissons dans un satisfaisant état de fraîcheur.",NaN,perdu,NaN,NaN,acl,NaN,,79,,perdre,78,_,_,39,10,40
"S' il dînait ou déjeunait, c' étaient les cuisines, le garde-manger, l' office, la poissonnerie, la laiterie du club, qui fournissaient à sa table leurs succulentes réserves; c' étaient les domestiques du club, graves personnages en habit noir, chaussés de souliers à semelles de molleton, qui le servaient dans une porcelaine spéciale et sur un admirable linge en toile de Saxe; c' étaient les cristaux à moule perdu du club qui contenaient son sherry, son porto ou son claret mélangé de cannelle, de capillaire et de cinnamome; c' était enfin la glace du club - glace venue à grands frais des lacs d' Amérique- qui entretenait ses boissons dans un satisfaisant état de fraîcheur.",qui,contenaient,son sherry son porto ou son claret,nsubj,acl:relcl,obj,82,83,85,contenir,76,_,_,39,10,40
"S' il dînait ou déjeunait, c' étaient les cuisines, le garde-manger, l' office, la poissonnerie, la laiterie du club, qui fournissaient à sa table leurs succulentes réserves; c' étaient les domestiques du club, graves personnages en habit noir, chaussés de souliers à semelles de molleton, qui le servaient dans une porcelaine spéciale et sur un admirable linge en toile de Saxe; c' étaient les cristaux à moule perdu du club qui contenaient son sherry, son porto ou son claret mélangé de cannelle, de capillaire et de cinnamome; c' était enfin la glace du club - glace venue à grands frais des lacs d' Amérique- qui entretenait ses boissons dans un satisfaisant état de fraîcheur.",NaN,mélangé,de cannelle de capillaire et de cinnamome,NaN,acl,obl:arg,,92,94,mélanger,91,_,_,39,10,40
"S' il dînait ou déjeunait, c' étaient les cuisines, le garde-manger, l' office, la poissonnerie, la laiterie du club, qui fournissaient à sa table leurs succulentes réserves; c' étaient les domestiques du club, graves personnages en habit noir, chaussés de souliers à semelles de molleton, qui le servaient dans une porcelaine spéciale et sur un admirable linge en toile de Saxe; c' étaient les cristaux à moule perdu du club qui contenaient son sherry, son porto ou son claret mélangé de cannelle, de capillaire et de cinnamome; c' était enfin la glace du club - glace venue à grands frais des lacs d' Amérique- qui entretenait ses boissons dans un satisfaisant état de fraîcheur.",NaN,venue,à grands frais des lacs d' Amérique,NaN,acl,obl:mod,,111,114,venir,110,59,PER,39,10,40
"S' il dînait ou déjeunait, c' étaient les cuisines, le garde-manger, l' office, la poissonnerie, la laiterie du club, qui fournissaient à sa table leurs succulentes réserves; c' étaient les domestiques du club, graves personnages en habit noir, chaussés de souliers à semelles de molleton, qui le servaient dans une porcelaine spéciale et sur un admirable linge en toile de Saxe; c' étaient les cristaux à moule perdu du club qui contenaient son sherry, son porto ou son claret mélangé de cannelle, de capillaire et de cinnamome; c' était enfin la glace du club - glace venue à grands frais des lacs d' Amérique- qui entretenait ses boissons dans un satisfaisant état de fraîcheur.",qui,entretenait,ses boissons,nsubj,acl:relcl,obj,120,121,123,entretenir,106,_,_,39,10,40
"S' il dînait ou déjeunait, c' étaient les cuisines, le garde-manger, l' office, la poissonnerie, la laiterie du club, qui fournissaient à sa table leurs succulentes réserves; c' étaient les domestiques du club, graves personnages en habit noir, chaussés de souliers à semelles de molleton, qui le servaient dans une porcelaine spéciale et sur un admirable linge en toile de Saxe; c' étaient les cristaux à moule perdu du club qui contenaient son sherry, son porto ou son claret mélangé de cannelle, de capillaire et de cinnamome; c' était enfin la glace du club - glace venue à grands frais des lacs d' Amérique- qui entretenait ses boissons dans un satisfaisant état de fraîcheur.",qui,entretenait,dans un satisfaisant état de fraîcheur,nsubj,acl:relcl,obl:mod,120,121,127,entretenir,106,_,_,39,10,40
"Si vivre dans ces conditions, c' est être un excentrique, il faut convenir que l' excentricité a du bon!",NaN,vivre,dans ces conditions,NaN,advcl,obl:arg,,2,5,vivre,8,_,_,40,11,41
"Si vivre dans ces conditions, c' est être un excentrique, il faut convenir que l' excentricité a du bon!",NaN,est,NaN,NaN,advcl,NaN,,8,,être,14,_,_,40,11,41
"Si vivre dans ces conditions, c' est être un excentrique, il faut convenir que l' excentricité a du bon!",NaN,faut,NaN,NaN,root,NaN,,14,,falloir,0,_,_,40,11,41
"Si vivre dans ces conditions, c' est être un excentrique, il faut convenir que l' excentricité a du bon!",NaN,convenir,NaN,NaN,xcomp,NaN,,15,,convenir,14,_,_,40,11,41
"Si vivre dans ces conditions, c' est être un excentrique, il faut convenir que l' excentricité a du bon!",l' excentricité,a,du bon,nsubj,ccomp,obj,18,19,21,avoir,15,_,_,40,11,41
"La maison de Saville - row, sans être somptueuse, se recommandait par un extrême confort.",NaN,recommandait,se,NaN,root,expl:comp,,13,12,recommander,0,_,_,41,12,42
"La maison de Saville - row, sans être somptueuse, se recommandait par un extrême confort.",NaN,recommandait,par un extrême confort,NaN,root,obl:mod,,13,17,recommander,0,_,_,41,12,42
"D' ailleurs, avec les habitudes invariables du locataire, le service s' y réduisait à peu.",le service,réduisait,D' ailleurs,nsubj,root,obl:mod,12,15,2,réduire,0,_,_,42,12,43
